Timestamp,Do you drink coffee most days of the week?,Do you prefer standards based grading or percentage grading?,What is your ideal number of minutes for a class?,How many student club would you say you actively participate in?,"On a scale of 1-10, how is online learning going for you so far this quarter?",What has been your favorite activity during shelter in place?,"On average, how many hours did you spend outside each weekday during the summer?","On average, how many hours do you spend outside each week day now that school has started?","On average, how many hours of sleep did you get per weeknight over the summer?","On average, how many hours of sleep do you get per weeknight now that school has started?",Would you feel safe at this moment having in person school with 8 students per class?,"I practice academic integrity (always, sometimes, never)",What is your current grade level?,Do you identify as POC?,I identify as:
9/2/2020 14:36:06,Yes,Not sure,50,3,7,embroidery,8,1,9,7,Yes,Sometimes,11,No,Girl/Woman
9/2/2020 14:36:30,No,Percentage,60,3,6,Drawing/Art,2,0.5,9,7.5,Not sure,Always,12,Yes,Girl/Woman
9/2/2020 14:37:19,Yes,Standards Based,75,4,5,"painting, making candles",0.5,2,9,6,Yes,Always,11,No,Girl/Woman
9/2/2020 14:37:25,No,Percentage,60,3,7,Baking,15,5,10,9,Not sure,Always,12,No,Girl/Woman
9/2/2020 14:38:30,No,Not sure,45,1,3,being kinda sad sometimes,14,1,12,7,Not sure,Sometimes,12,No,Boy/Man
9/2/2020 14:39:09,No,Percentage,60,3,8,Kayaking,2,0.5,8,7,Yes,Always,12,Yes,Girl/Woman
9/2/2020 14:39:13,No,Standards Based,60,4,7,Outdoor sports like biking and hiking,8,2,9,8,No,Always,11,Yes,Boy/Man
9/2/2020 14:39:49,No,Not sure,45,1,8,Playing with my dog,5,1,8,8,No,Always,11,No,Boy/Man
9/2/2020 14:39:50,No,Percentage,60,1,6,cooking,4,1,9,8,Yes,Always,11,No,Girl/Woman
9/2/2020 14:40:21,No,Not sure,45,1,4,Hanging w friends distancing,30,7,10,8,Yes,Always,11,No,Girl/Woman
9/2/2020 14:40:26,No,Not sure,75,3,6,online games with friends,2.5,1,9,8,Yes,Always,12,No,Boy/Man
9/2/2020 14:40:59,No,Percentage,60,2,7,running or watching youtube,5,2,9,6,Yes,Sometimes,12,Yes,Girl/Woman
9/2/2020 14:41:01,No,Percentage,60,5,8,Baking!,4,1.5,9,7,Yes,Always,11,Yes,Girl/Woman
9/2/2020 14:41:24,Yes,Not sure,45,1,7,Running,1.5,2,8,8,Yes,Sometimes,12,No,Girl/Woman
9/2/2020 14:41:33,No,Standards Based,60,2,8,Watching tv,0,0,9,7,Not sure,Always,11,Yes,Girl/Woman
9/2/2020 14:42:26,No,Not sure,60,3,7,Going on a walk in my neighborhood,1,1,9,8,Not sure,Always,12,No,Girl/Woman
9/2/2020 14:43:06,No,Percentage,75,1,8,Being outside,6,0.5,9,9,Not sure,Always,11,No,Girl/Woman
9/2/2020 14:43:23,No,Not sure,60,3,7,Playing guitar,5,0,8,10,No,Always,12,Yes,Boy/Man
9/2/2020 14:43:43,Yes,Not sure,15,3,10,baking bread,1.5,2,10,9.5,No,Always,12,No,Girl/Woman
9/2/2020 14:43:53,No,Percentage,60,0,8,running,3,2,8,8,No,Always,12,No,Girl/Woman
9/2/2020 14:44:14,No,Percentage,60,2,4,eating,4,2,11,8,Yes,Always,11,Yes,Boy/Man
9/2/2020 14:44:31,No,Percentage,75,1,8,Chess,4,2,9,8,No,Always,12,No,Boy/Man
9/2/2020 14:44:37,No,Percentage,60,0,6,draw,5,2,8,8,Yes,Always,11,No,Girl/Woman
9/2/2020 14:50:14,No,Percentage,60,0,7,TV,2,1,9,7,Yes,Always,11,Not sure,Boy/Man
9/2/2020 14:51:31,No,Percentage,60,2,7,baking,3,1,10,7,Yes,Sometimes,11,Yes,Girl/Woman
9/2/2020 14:51:50,No,Percentage,60,6,8,painting,4,4,8,7,Yes,Always,12,No,Girl/Woman
9/2/2020 14:52:22,Yes,Percentage,60,3,7,Drawing/painting,2,0.5,8,7,Yes,Always,12,Yes,Girl/Woman
9/2/2020 14:53:20,No,Not sure,50,0,8,Surfing,45,35,9,8,Not sure,Sometimes,12,No,Boy/Man
9/2/2020 14:54:59,Yes,Percentage,60,3,6,baking,2,1,10,7,Yes,Always,11,Yes,Girl/Woman
9/2/2020 15:00:32,Yes,Percentage,60,6,2,art,2,0,8,4,Yes,Always,11,No,Girl/Woman
9/2/2020 15:02:30,No,Percentage,70,6,6,baking,0,0,8,7.5,Not sure,Always,11,Yes,Girl/Woman
9/2/2020 15:05:29,No,Percentage,65,4,10,reading,4,2,8,7,No,Always,11,Yes,Girl/Woman
9/2/2020 15:07:32,No,Percentage,60,2,6,catching up on TV shows/movies,0.5,0.5,10,8,Not sure,Sometimes,12,Yes,Girl/Woman
9/2/2020 15:09:42,Yes,Standards Based,40,0,6,Watching netflix,2,1,7,6,Not sure,Sometimes,11,No,Girl/Woman
9/2/2020 15:11:13,Yes,Percentage,60,3,6,Puzzles,2,2,10,8,Yes,Always,12,No,Girl/Woman
9/2/2020 15:12:06,No,Percentage,60,4,8,Videogames,0.5,0.1,8,6,No,Always,11,Yes,Boy/Man
9/2/2020 15:14:51,No,Percentage,90,4,7,Painting,2,0,8,8,No,Always,11,Yes,Girl/Woman
9/2/2020 15:16:09,No,Not sure,60,2,6,Baking,1,0.5,8.5,7.5,Not sure,Always,11,No,Girl/Woman
9/2/2020 15:16:14,No,Percentage,60,6,7,Sleeping,2,0.5,9,4,Yes,Sometimes,12,Yes,Girl/Woman
9/2/2020 15:16:19,No,Percentage,60,3,8,Spending more time with family,6,2,9,8,Yes,Always,12,Yes,Girl/Woman
9/2/2020 15:17:06,No,Percentage,60,1,3,YouTube binging,1.5,0,9,7,No,Sometimes,12,No,Girl/Woman
9/2/2020 15:19:33,No,Percentage,60,3,5,Spending time with family,1,0.5,10,7,No,Always,12,No,Girl/Woman
9/2/2020 15:20:23,Yes,Percentage,60,3,7,Walking my dog,2,0.5,9,8,No,Always,12,Yes,Boy/Man
9/2/2020 15:24:59,No,Percentage,60,2,8,Singing,4,2,9,7.5,Yes,Always,11,Yes,Girl/Woman
9/2/2020 15:30:12,Yes,Percentage,60,3,7,Reading,5,2,10,9,Yes,Always,11,No,Boy/Man
9/2/2020 15:33:15,Yes,Percentage,60,1,10,Creating short videos,2,1,8,8,No,Always,12,Yes,Boy/Man
9/2/2020 15:37:52,Yes,Percentage,60,3,7,Reading,5,2,10,9,Yes,Always,11,No,Boy/Man
9/2/2020 15:41:17,No,Not sure,60,1,6,running,2,1,9,7,Yes,Always,11,No,Girl/Woman
9/2/2020 15:41:23,No,Standards Based,50,2,8,Reading,0,0,10,6,No,Always,11,Yes,Girl/Woman
9/2/2020 15:46:58,No,Percentage,60,3,8,Sleeping in,0,0,11,6,Yes,Always,11,Yes,Girl/Woman
9/2/2020 15:48:26,No,Percentage,70,1,7,Exercising,2,1,10,9,No,Always,11,No,Boy/Man
9/2/2020 16:08:36,No,Not sure,75,2,9,Soccer,2,2,7,7.5,Yes,Sometimes,12,Yes,Boy/Man
9/2/2020 16:13:15,No,Percentage,70,6,6,baking,0,0,8,7.5,Not sure,Always,11,Yes,Girl/Woman
9/2/2020 16:20:06,No,Percentage,80,2,6,Gaming,3,1,9,7.5,No,Always,11,No,Boy/Man
9/2/2020 16:23:42,No,Not sure,60,1.5,8,family movie night,2,0.5,9.5,9,Not sure,Always,11,Yes,Girl/Woman
9/2/2020 16:37:21,No,Percentage,60,1,8,Soccer practice,6,1,10,8,Yes,Always,11,No,Girl/Woman
9/2/2020 16:38:39,No,Not sure,65,1,8,Television,4,1,8,8,Yes,Always,11,No,Boy/Man
9/2/2020 16:43:50,No,Not sure,60,2,5,Baking,3,1,9,7,No,Always,11,Not sure,Girl/Woman
9/2/2020 16:56:32,No,Percentage,60,3,8,Kayaking,2,0.5,8,7,Yes,Always,12,Yes,Girl/Woman
9/2/2020 17:35:44,No,Not sure,75,0,7,Running,4,2,9,7,Not sure,Always,12,No,Boy/Man
9/2/2020 17:42:06,No,Percentage,60,2,5,friends,2,1,8,6,Yes,Always,11,Yes,Girl/Woman
9/2/2020 18:05:24,No,Not sure,45,1,4,Hanging w friends distancing,30,7,10,8,Yes,Always,11,No,Girl/Woman
9/2/2020 18:27:14,No,Not sure,60,0,8,running,6,2,9,8,Yes,Always,12,No,Girl/Woman
9/2/2020 18:57:08,Yes,Percentage,145,1,1,Literally nothing.,24,4,10,8,Yes,Always,12,No,Boy/Man
9/2/2020 18:58:03,No,Not sure,75,3,4,Reading books that interest me,1,2,8,6.5,Not sure,Sometimes,12,No,Boy/Man
9/2/2020 19:02:52,No,Standards Based,45,2,7,Running,2,2,7,6,Yes,Always,12,Yes,Boy/Man
9/2/2020 19:09:25,No,Percentage,60,4,9,Playing music/Learning editing,4,4,9,7,Not sure,Sometimes,12,Yes,Girl/Woman
9/2/2020 19:14:35,Yes,Percentage,45,3,7,Probably binge watching Netflix shows.,1.5,0.5,9,8,Yes,Sometimes,12,Yes,Girl/Woman
9/2/2020 19:25:37,No,Percentage,90,3,5,family time,10,2,10,8,Yes,Always,11,No,Girl/Woman
9/2/2020 19:44:02,No,Standards Based,60,4,7,Outdoor sports like biking and hiking,8,2,9,8,No,Always,11,Yes,Boy/Man
9/2/2020 19:51:10,No,Percentage,60,1,8,Soccer practice,6,1,10,8,Yes,Always,11,No,Girl/Woman
9/2/2020 20:08:34,Yes,Standards Based,60,4,1,"Sleeping after working, I haven't done anything else.",2,0,8,6,Not sure,Always,12,Yes,Boy/Man
9/2/2020 20:21:27,Yes,Not sure,60,0,3,running,1,0.5,8,7,Yes,Always,11,Not sure,Girl/Woman
9/2/2020 21:04:21,No,Percentage,60,1,7,Playing video games right after school is over,0.1,0,8.5,6.5,Yes,Always,12,Yes,Boy/Man
9/2/2020 21:05:17,No,Percentage,60,0,8,video games,1,0,10,8,Yes,Always,11,No,Boy/Man
9/2/2020 21:09:18,Yes,Percentage,75,1,7,Reading,2,1,8.5,7.5,Yes,Always,12,No,Girl/Woman
9/2/2020 21:57:25,No,Not sure,50,1,1,binge watching tv,10,3,11,8.5,Yes,Always,12,No,Boy/Man
9/2/2020 22:05:19,Yes,Not sure,60,4,4,baking,3,1,12,6,Not sure,Always,12,Yes,Girl/Woman
9/2/2020 22:34:39,No,Not sure,60,3,5,Running,3,2,9,7,Not sure,Always,11,Yes,Girl/Woman
9/3/2020 2:21:16,No,Percentage,60,0,9,sleeping or cooking,4,1,10,7,Yes,Sometimes,12,Yes,Girl/Woman
9/3/2020 12:16:11,No,Not sure,60,3,6,Reading for fun,2,0.5,8,8,Not sure,Always,11,No,Girl/Woman
9/3/2020 13:19:11,No,Percentage,60,1,6,video games,2,1,8,7,No,Always,12,Yes,Boy/Man
9/3/2020 13:19:34,No,Percentage,45,2,6,surfing,8,4,10,7,Yes,Always,12,No,Girl/Woman
9/3/2020 13:19:35,No,Percentage,75,0,5,cooking,4,4,7,7,Yes,Always,12,No,Boy/Man
9/3/2020 22:10:10,No,Percentage,45,4,3,running,3,0.5,8,5,Yes,Always,12,Yes,Nonbinary
9/3/2020 23:05:10,No,Percentage,45,1,5,guitar,1,0.1,7,4.5,No,Always,12,Yes,Boy/Man
9/4/2020 12:04:55,Yes,Not sure,50,0,10,Working out,3,1,12,10,Yes,Always,11,No,Girl/Woman
9/4/2020 12:05:23,No,Not sure,60,3,7,Sleeping,2,2,10,8,No,Always,12,Yes,Boy/Man
9/4/2020 12:05:31,Yes,Percentage,60,0,7,Minecraft,2.5,1,10,7.5,No,Sometimes,11,No,Boy/Man
9/4/2020 12:05:49,Yes,Percentage,10,3,6,surfing,8,2,12,10,Yes,Always,11,No,Girl/Woman
9/4/2020 12:07:56,No,Percentage,50,1,6,Video Games,6,2,8,8,Not sure,Always,11,No,Boy/Man
9/4/2020 12:07:56,No,Percentage,60,4,8,walking,5,3,9,7,No,Sometimes,12,Yes,Girl/Woman
9/4/2020 12:08:32,No,Not sure,60,0,7,Soccer,4,2,9,6,Yes,Always,11,Yes,Girl/Woman
9/4/2020 12:10:31,No,Percentage,60,0,7,Videogames,3,1,9,8,No,Always,11,No,Boy/Man
9/4/2020 12:14:59,No,Not sure,60,3,7,Anything outdoors,3,2,9,8,Yes,Always,12,No,Girl/Woman
9/4/2020 12:20:03,Yes,Percentage,60,2,7,netflix,2,1,9,7,Yes,Always,12,No,Girl/Woman
9/4/2020 12:29:26,Yes,Percentage,45,3,3,Playing video games,3,1,9,7,Yes,Always,12,No,Boy/Man
9/4/2020 12:32:07,No,Standards Based,60,1,1,ive picked up skating,3,0.25,10,6,Yes,Always,11,Yes,Girl/Woman
9/4/2020 12:34:08,No,Percentage,20,1,5,tv,1,1,9,8,No,Always,11,Yes,Girl/Woman
9/4/2020 12:38:54,No,Percentage,50,3,6,"art, especially drawing",2,0.75,8,7,Not sure,Always,12,No,Girl/Woman
9/4/2020 12:59:12,No,Percentage,70,3,8,Painting and going on runs,1,0.5,8,7.5,Yes,Always,11,Yes,Girl/Woman
9/4/2020 13:02:07,Yes,Not sure,50,0,10,Working out,3,1,12,10,Yes,Always,11,No,Girl/Woman
9/4/2020 13:06:42,No,Not sure,60,2,7,Running,5,2.5,8.5,8,Not sure,Sometimes,12,No,Girl/Woman
9/4/2020 13:16:39,No,Not sure,60,3,7,Anything outdoors,3,2,9,8,Yes,Always,12,No,Girl/Woman
9/4/2020 14:13:01,No,Percentage,60,0,7,"Playing music, lifting",6,4,8,7,Yes,Always,12,No,Boy/Man
9/4/2020 15:19:17,Yes,Percentage,50,6,7,Taking walks,2,1,8,6,No,Always,11,No,Girl/Woman
9/4/2020 15:46:03,No,Not sure,75,2,10,hiking,5,2,8,6.5,No,Always,11,Not sure,Girl/Woman
9/4/2020 17:24:32,Yes,Percentage,10,3,6,surfing,8,2,12,10,Yes,Always,11,No,Girl/Woman
9/4/2020 17:46:08,No,Percentage,60,3,9,hanging out with family,4,2,10,7,No,Always,11,No,Boy/Man
9/4/2020 20:41:50,No,Not sure,50,2,7,Hiking,4,1,7,5,Yes,Always,12,No,Girl/Woman
9/5/2020 14:03:46,Yes,Percentage,60,5,4,Exercising,5,3,10,8,Not sure,Always,12,Yes,Boy/Man
